000067-64-1_group2,000067-68-5_group1,000074-95-3_group1,000077-68-9_group1,000078-79-5_group2,000078-93-3_group1,000091-20-3_group1,000095-16-9_group2,000095-47-6_group2,000098-82-8_group2,000098-83-9_group2,000098-86-2_group2,000100-41-4_group3,000100-41-4_group4,000100-42-5_group1,000100-80-1_group1,000103-65-1_group1,000104-76-7_group1,000106-46-7_group2,000107-83-5_group2,000107-92-6_group1,000108-67-8_group2,000108-67-8_group3,000108-87-2_group2,000108-94-1_group1,000109-52-4_group1,000110-43-0_group1,000110-54-3_group2,000110-82-7_group1,000110-88-3_group1,000110-93-0_group2,000110-98-5_group1,000112-31-2_group1,000115-11-7_group2,000119-36-8_group1,000120-92-3_group1,000123-35-3_group1,000124-19-6_group1,000140-11-4_group1,000141-78-6_group2,000142-82-5_group2,000149-57-5_group1,000353-66-2_group1,000470-82-6_group1,000496-11-7_group2,000541-73-1_group2,000589-34-4_group2,000589-81-1_group2,000611-14-3_group2,000615-74-7_group1,000617-94-7_group1,000620-14-4_group1,000761-65-9_group1,001074-43-7_group1,001074-55-1_group2,001122-82-3_group1,001203-17-4_group1,001640-89-7_group2,001762-27-2_group1,002216-33-3_group1,002809-64-5_group2,003387-41-5_group1,003877-15-4_group2,005989-27-5_group1,013475-82-6_group1,018631-83-9_group2,019549-87-2_group1,027750-45-4_group1,038165-93-4_group1,054446-78-5_group1,063521-76-6_group3,095798-15-5_group1,1000132-10-9_group2,1000308-17-8_group1,1000309-13-0_group1,1000386-40-2_group1,1000401-12-0_group1,1000417-00-6_group1
0.8837,0.2221,,,0.6244,,0.5169,,1.1005,0.244,0.5797,0.6668,0.9919,,,,,1.2753,0.3595,,0.6447,,0.6679,,,,,0.9814,,,,,0.6985,,0.2179,,0.1837,,0.1946,,1.1566,0.3301,,,,,,,0.3765,,,,0.2717,0.2179,,0.352,0.1571,0.0704,,0.2342,,0.1515,,1.9156,,,,,,,,0.5445,,,,,,
0.6738,,,,0.4468,0.1196,0.5003,,,,0.5299,0.7799,0.4051,,,,,1.3832,0.3293,,0.6149,,0.9642,,0.2398,0.2963,,0.0678,,0.1173,,,0.6792,,,,,,0.2354,,0.107,0.3654,0.0977,,,,,,,,,,0.6773,,,0.5017,,,,,,,,0.5754,,,,,,,,0.6837,,,,,,0.0442
0.6466,,,,1.2023,,0.4593,,0.7473,0.0822,0.4561,0.7021,0.633,,,0.0633,,,,,0.5192,,0.3965,,,,0.0657,0.2911,,,,,0.5896,,0.2371,,0.1383,0.4385,0.2058,0.0487,0.3644,0.3146,0.1395,,,0.3522,,,,,1.1787,,0.2767,0.2318,,0.4076,,,,,,,0.0433,0.7129,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7098,,,,,,0.4345,,1.0855,0.1259,0.4789,0.707,0.8125,,,0.0946,,1.1201,,,0.4844,,0.6483,,,,,0.5288,,,,,0.5195,,,,0.1348,,0.1756,,0.7547,0.2593,,,,0.3219,,,0.437,,0.9332,,0.3188,0.2651,,0.3517,0.1708,,,,,,,0.5143,,,,,,,,,,,,,,
,,0.0439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0575,,,,,,,,,,,,,,,,,,,,,,0.1049,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3515,0.0389,,,,,,,,,,,,,,,,,,,,,,0.0964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,
,0.2081,0.0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2113,0.0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2012,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.613,,,,,,,,,,,,,,,,0.1709,,,,,,,0.6289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0701,,,,,,,,,,,,,1.2094,,,,,,,,,,,,,,,,,,,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1364,,,,,,,,,,,,,,,,,,,0.647,0.0776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0935,,,,,,,,,,,,,,,,,1.6484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0798,,,,,,,,0.5628,,,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,,,,,,
,0.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1595,0.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0466,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0743,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.8817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1718,,,,,0.4007,1.9017,,,,,,,,,,,,,,,,,,,,,,,,,,0.2321,,,,,,,,,,,,,,,,,,0.0983,,,,,,,,,,,
,,,,,,,,,,,,,1.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.7187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.8568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5081,,,,,,,,,,,,,,,,,,0.0476,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.3531,0.944,,,,0.4135,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,,,,,,,,,,,,,,,,,,0.051,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.6135,,,,,,,,,,,,,,,,,,,,,,,,,,0.2723,,,,,,,,,,,,,,,,,,0.0386,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9532,,,,,0.4772,,,,,,,,,,,,,,,,,,,,,,,,,,0.4636,,,,,,,,,,,,,,,,,,0.0349,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1455,1.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1517,,,,,,,,,,,,,,,,,,0.0628,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1044,1.2582,,,,,1.4458,,,,,,,,,,,,,,,,,,,,,,,,,,0.2469,,,,,,,,,,,,,,,,,,0.0533,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.4028,,,,0.2145,1.1154,,,,,,,,,,,,,,,,,,,,,,,,,,0.7812,,,,,,,,,,,,,,,,,,0.0249,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2556,1.1377,,,,0.2737,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1782,,,,,,,,,,,,,,,,,,0.0324,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5695,,,,,,,,,,,,,,,,,,0.0418,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.1139,1.5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4359,,,,,,,,,,,,,,,,,,0.0403,,,,,,,,,,,
