Feature_ID,CAS,Mean_RT
000035-27-8_group1,000035-27-8,8.6318
000050-06-6_group1,000050-06-6,44.027249999999995
000050-70-4_group1,000050-70-4,28.882
000051-46-7_group1,000051-46-7,8.2053
000051-73-0_group1,000051-73-0,11.7539
000054-11-5_group1,000054-11-5,17.8688
000054-49-9_group1,000054-49-9,0.124
000054-49-9_group2,000054-49-9,3.1474
000055-21-0_group1,000055-21-0,13.829550000000001
000056-18-8_group1,000056-18-8,3.3504
000056-23-5_group1,000056-23-5,5.1005
000056-41-7_group1,000056-41-7,4.1284
000056-81-5_group1,000056-81-5,21.59912222222222
000056-81-5_group2,000056-81-5,28.6802
000056-88-2_group1,000056-88-2,31.5286
000056-88-2_group2,000056-88-2,32.4621
000056-88-2_group3,000056-88-2,33.4316
000056-88-2_group4,000056-88-2,34.5306
000056-88-2_group5,000056-88-2,35.5103
000056-88-2_group6,000056-88-2,36.9859
000056-88-2_group7,000056-88-2,37.4229
000056-88-2_group8,000056-88-2,38.0318
000057-10-3_group1,000057-10-3,29.7978
000057-10-3_group2,000057-10-3,30.0536
000057-10-3_group3,000057-10-3,30.65646
000057-10-3_group4,000057-10-3,31.108107142857143
000057-10-3_group5,000057-10-3,31.518040000000003
000057-10-3_group6,000057-10-3,35.26113333333333
000057-11-4_group1,000057-11-4,8.8069
000057-11-4_group2,000057-11-4,23.15868
000057-11-4_group3,000057-11-4,23.5628
000057-11-4_group4,000057-11-4,28.4222
000057-11-4_group5,000057-11-4,28.7186
000057-11-4_group6,000057-11-4,29.4309
000057-11-4_group7,000057-11-4,29.7616
000057-11-4_group8,000057-11-4,39.12636
000057-14-7_group1,000057-14-7,12.5214
000057-14-7_group2,000057-14-7,13.1551
000057-15-8_group1,000057-15-8,12.3289
000057-27-2_group1,000057-27-2,41.8031
000057-55-6_group1,000057-55-6,5.0494
000057-55-6_group2,000057-55-6,12.39955
000057-55-6_group3,000057-55-6,15.5808
000059-42-7_group1,000059-42-7,0.3907
000059-42-7_group2,000059-42-7,3.1458
000059-42-7_group3,000059-42-7,17.6075
000059-50-7_group1,000059-50-7,15.334316666666666
000059-50-7_group2,000059-50-7,33.4216
000060-12-8_group1,000060-12-8,15.3103
000060-12-8_group2,000060-12-8,20.0527
000060-29-7_group1,000060-29-7,2.6352
000060-29-7_group2,000060-29-7,10.2234
000060-32-2_group1,000060-32-2,3.9259
000060-35-5_group1,000060-35-5,4.4192
000060-35-5_group2,000060-35-5,5.3376
000060-35-5_group3,000060-35-5,13.921625
000060-56-0_group1,000060-56-0,19.3659
000061-90-5_group1,000061-90-5,24.5647
000062-53-3_group1,000062-53-3,16.6114
000064-04-0_group1,000064-04-0,0.1019
000064-11-9_group1,000064-11-9,0.9033
000064-11-9_group2,000064-11-9,3.2831
000064-11-9_group3,000064-11-9,3.9857
000064-17-5_group1,000064-17-5,1.2113
000064-17-5_group2,000064-17-5,7.1999
000064-19-7_group1,000064-19-7,1.756925
000064-19-7_group2,000064-19-7,2.6616
000064-19-7_group3,000064-19-7,3.2823
000064-19-7_group4,000064-19-7,4.420966666666667
000064-19-7_group5,000064-19-7,5.4099875
000064-19-7_group6,000064-19-7,11.192475862068965
000064-19-7_group7,000064-19-7,13.913200000000002
000064-19-7_group8,000064-19-7,14.221666666666666
000065-85-0_group1,000065-85-0,15.765514285714286
000065-85-0_group2,000065-85-0,24.405525
000065-85-0_group3,000065-85-0,25.426845
000065-85-0_group4,000065-85-0,35.26168974358974
000065-85-0_group5,000065-85-0,36.57729333333334
000066-25-1_group1,000066-25-1,3.89925
000066-25-1_group2,000066-25-1,4.196
000066-25-1_group3,000066-25-1,7.30209
000066-25-1_group4,000066-25-1,9.424900000000001
000066-25-1_group5,000066-25-1,11.7526
000067-47-0_group1,000067-47-0,18.4809
000067-51-6_group1,000067-51-6,4.9353
000067-51-6_group2,000067-51-6,11.2957
000067-63-0_group1,000067-63-0,5.407616666666667
000067-64-1_group1,000067-64-1,1.2839692307692308
000067-64-1_group2,000067-64-1,4.438870909090909
000067-64-1_group3,000067-64-1,5.829747619047619
000067-66-3_group1,000067-66-3,6.4801
000067-68-5_group1,000067-68-5,12.788588888888889
000067-68-5_group2,000067-68-5,15.488
000067-68-5_group3,000067-68-5,15.7837
000067-71-0_group1,000067-71-0,3.1255333333333333
000067-71-0_group2,000067-71-0,15.638300000000001
000067-71-0_group3,000067-71-0,20.2036
000068-12-2_group1,000068-12-2,3.84765
000068-12-2_group2,000068-12-2,4.10285
000068-12-2_group3,000068-12-2,10.1744
000068-12-2_group4,000068-12-2,12.8745
000068-95-1_group1,000068-95-1,17.3505
000070-25-7_group1,000070-25-7,10.9143
000070-47-3_group1,000070-47-3,11.3483
000070-69-9_group1,000070-69-9,8.2919
000071-23-8_group1,000071-23-8,6.6359
000071-36-3_group1,000071-36-3,7.793714285714286
000071-36-3_group2,000071-36-3,9.9433
000071-41-0_group1,000071-41-0,3.5288
000071-41-0_group2,000071-41-0,8.511
000071-41-0_group3,000071-41-0,9.1347
000071-43-2_group1,000071-43-2,2.10295
000071-43-2_group2,000071-43-2,5.676612021857923
000071-43-2_group3,000071-43-2,7.488566666666666
000071-63-6_group1,000071-63-6,15.9388
000071-63-6_group2,000071-63-6,16.2319
000072-69-5_group1,000072-69-5,3.1293
000072-69-5_group2,000072-69-5,39.7313
000074-79-3_group1,000074-79-3,3.1587
000074-79-3_group2,000074-79-3,4.2518
000074-88-4_group1,000074-88-4,4.3758
000074-94-2_group1,000074-94-2,3.3422
000074-94-2_group2,000074-94-2,4.420249999999999
000074-95-3_group1,000074-95-3,8.23081
000074-97-5_group1,000074-97-5,6.861615508021391
000075-04-7_group1,000075-04-7,3.9206000000000003
000075-04-7_group2,000075-04-7,27.5206
000075-04-7_group3,000075-04-7,28.2173
000075-04-7_group4,000075-04-7,32.5296
000075-04-7_group5,000075-04-7,34.6476
000075-04-7_group6,000075-04-7,37.8205
000075-04-7_group7,000075-04-7,38.075
000075-07-0_group1,000075-07-0,0.8879166666666666
000075-07-0_group2,000075-07-0,2.956166666666667
000075-07-0_group3,000075-07-0,3.9172684210526314
000075-08-1_group1,000075-08-1,4.0411
000075-11-6_group1,000075-11-6,7.7425
000075-15-0_group1,000075-15-0,3.8539
000075-18-3_group1,000075-18-3,4.0292
000075-19-4_group1,000075-19-4,4.4232
000075-19-4_group2,000075-19-4,12.1255
000075-21-8_group1,000075-21-8,0.8763
000075-21-8_group2,000075-21-8,2.9617
000075-21-8_group3,000075-21-8,3.9725428571428574
000075-22-9_group1,000075-22-9,4.9066
000075-31-0_group1,000075-31-0,0.7759
000075-31-0_group2,000075-31-0,2.4499
000075-31-0_group3,000075-31-0,3.0606
000075-31-0_group4,000075-31-0,3.9437466666666667
